Nature index,Count,Percent
2.415,31,0.0%
2.42625,5,0.0%
2.43,54,0.0%
2.443125,1,0.0%
2.445,12,0.0%
2.46,234,0.0%
2.4675,2,0.0%
2.47125,1,0.0%
2.475,49,0.0%
2.4825,4,0.0%
2.49,16,0.0%
2.505,97,0.0%
2.5125,27,0.0%
2.51625,2,0.0%
2.52,4,0.0%
2.5275,11,0.0%
2.535,10,0.0%
2.544375,2,0.0%
2.54625,3,0.0%
2.55,62,0.0%
2.5575,15,0.0%
2.57625,1,0.0%
2.59125,6,0.0%
2.604375,1,0.0%
2.6325,2,0.0%
2.6475,24,0.0%
2.65125,1,0.0%
2.6625,31,0.0%
2.664375,2,0.0%
2.675625,8,0.0%
2.6775,11,0.0%
2.679375,1,0.0%
2.685,1,0.0%
2.694375,4,0.0%
2.69625,6,0.0%
2.709375,27,0.0%
2.709375,1,0.0%
2.7225,3,0.0%
2.724375,2,0.0%
2.72625,1,0.0%
2.7375,21,0.0%
2.739375,3,0.0%
2.7525,21,0.0%
2.754375,9,0.0%
2.76,1,0.0%
2.7675,21,0.0%
2.769375,14,0.0%
2.784375,3,0.0%
2.7975,539,0.1%
2.80125,2,0.0%
2.8125,94,0.0%
2.81625,5,0.0%
2.8275,3,0.0%
2.829375,5,0.0%
2.844375,4,0.0%
2.859375,3,0.0%
2.8725,26,0.0%
2.8875,49,0.0%
Total,987427,-
